ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,59.8,1.9,118,57.9
CA-003,Alpine County,California,45.7,2.4,123,43.3
CA-005,Amador County,California,59.7,2.5,125,57.2
CA-007,Butte County,California,61,2.2,122,58.8
CA-009,Calaveras County,California,60,2.4,125,57.6
CA-011,Colusa County,California,62.5,2.1,123,60.4
CA-013,Contra Costa County,California,61,2.2,120,58.8
CA-015,Del Norte County,California,52.9,2.1,118,50.8
CA-017,El Dorado County,California,55.4,2.1,124,53.4
CA-019,Fresno County,California,57.4,3,125,54.4
CA-021,Glenn County,California,61,1.7,120,59.3
CA-023,Humboldt County,California,54.8,1.8,119,53
CA-025,Imperial County,California,75.3,3.1,122,72.2
CA-027,Inyo County,California,62.7,3.2,127,59.6
CA-029,Kern County,California,63.6,3.1,125,60.5
CA-031,Kings County,California,65.2,2.7,123,62.5
CA-033,Lake County,California,58.5,2.2,125,56.3
CA-035,Lassen County,California,48,1.9,115,46.1
CA-037,Los Angeles County,California,63.5,3.6,125,59.9
CA-039,Madera County,California,57.7,2.6,122,55.1
CA-041,Marin County,California,56.7,1.8,119,54.8
CA-043,Mariposa County,California,56.9,2.4,123,54.5
CA-045,Mendocino County,California,56.2,1.4,116,54.8
CA-047,Merced County,California,63.4,2.3,125,61
CA-049,Modoc County,California,48,2.5,117,45.6
CA-051,Mono County,California,46.1,2.9,123,43.3
CA-053,Monterey County,California,59.9,2.7,124,57.2
CA-055,Napa County,California,60.4,2.3,122,58.2
CA-057,Nevada County,California,53.8,2.1,124,51.7
CA-059,Orange County,California,65.8,3.5,124,62.4
CA-061,Placer County,California,55,2,123,53
CA-063,Plumas County,California,48.6,1.8,119,46.8
CA-065,Riverside County,California,70.2,3.4,127,66.8
CA-067,Sacramento County,California,62.9,1.8,120,61.1
CA-069,San Benito County,California,60.3,2.9,124,57.4
CA-071,San Bernardino County,California,68.4,3.4,126,65.1
CA-073,San Diego County,California,64.8,3.5,127,61.2
CA-075,San Francisco County,California,57.6,1.9,115,55.8
CA-077,San Joaquin County,California,63.3,2.6,123,60.7
CA-079,San Luis Obispo County,California,61.1,3.1,127,58
CA-081,San Mateo County,California,57.6,2.2,121,55.4
CA-083,Santa Barbara County,California,60.2,3.6,126,56.6
CA-085,Santa Clara County,California,59.5,2.6,124,56.9
CA-087,Santa Cruz County,California,58.4,2.7,123,55.7
CA-089,Shasta County,California,56.6,2.3,123,54.3
CA-091,Sierra County,California,48.7,2.3,124,46.4
CA-093,Siskiyou County,California,50.3,2.5,122,47.8
CA-095,Solano County,California,61.6,1.9,116,59.7
CA-097,Sonoma County,California,58.1,2,123,56.1
CA-099,Stanislaus County,California,62.9,2.5,123,60.4
CA-101,Sutter County,California,63.7,1.8,120,61.8
CA-103,Tehama County,California,60.1,2.1,122,57.9
CA-105,Trinity County,California,53.8,2.3,122,51.6
CA-107,Tulare County,California,55.9,2.7,123,53.2
CA-109,Tuolumne County,California,51.9,2.3,124,49.6
CA-111,Ventura County,California,59.5,3.5,125,56
CA-113,Yolo County,California,62.4,1.5,114,60.9
CA-115,Yuba County,California,62,2.2,123,59.8
