ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,59.7,1.8,117,57.9
CA-003,Alpine County,California,43.5,0.2,73,43.3
CA-005,Amador County,California,57.8,0.6,88,57.2
CA-007,Butte County,California,60.2,1.4,109,58.8
CA-009,Calaveras County,California,58.3,0.6,89,57.6
CA-011,Colusa County,California,61.6,1.2,105,60.4
CA-013,Contra Costa County,California,60.6,1.8,115,58.8
CA-015,Del Norte County,California,52.1,1.3,102,50.8
CA-017,El Dorado County,California,53.6,0.2,75,53.4
CA-019,Fresno County,California,55.8,1.4,103,54.4
CA-021,Glenn County,California,60.4,1.1,103,59.3
CA-023,Humboldt County,California,54.5,1.5,114,53
CA-025,Imperial County,California,72.9,0.7,76,72.2
CA-027,Inyo County,California,60,0.5,77,59.6
CA-029,Kern County,California,61.7,1.1,96,60.5
CA-031,Kings County,California,64.3,1.8,112,62.5
CA-033,Lake County,California,57.4,1,105,56.3
CA-035,Lassen County,California,46.6,0.5,77,46.1
CA-037,Los Angeles County,California,61.1,1.2,91,59.9
CA-039,Madera County,California,56.3,1.1,97,55.1
CA-041,Marin County,California,56.9,2.1,123,54.8
CA-043,Mariposa County,California,55,0.5,84,54.5
CA-045,Mendocino County,California,56.1,1.3,115,54.8
CA-047,Merced County,California,62.9,1.9,113,61
CA-049,Modoc County,California,46.7,1.2,93,45.6
CA-051,Mono County,California,43.6,0.3,75,43.3
CA-053,Monterey County,California,59.1,1.9,116,57.2
CA-055,Napa County,California,60,1.8,115,58.2
CA-057,Nevada County,California,51.9,0.2,69,51.7
CA-059,Orange County,California,63.9,1.5,101,62.4
CA-061,Placer County,California,53.4,0.4,78,53
CA-063,Plumas County,California,47.1,0.3,78,46.8
CA-065,Riverside County,California,67.6,0.9,88,66.8
CA-067,Sacramento County,California,62.9,1.8,120,61.1
CA-069,San Benito County,California,59.1,1.7,111,57.4
CA-071,San Bernardino County,California,65.5,0.5,74,65.1
CA-073,San Diego County,California,62.4,1.2,97,61.2
CA-075,San Francisco County,California,58,2.3,121,55.8
CA-077,San Joaquin County,California,63.1,2.3,121,60.7
CA-079,San Luis Obispo County,California,59.7,1.8,111,58
CA-081,San Mateo County,California,58,2.6,124,55.4
CA-083,Santa Barbara County,California,58.6,1.9,110,56.6
CA-085,Santa Clara County,California,58.9,2,115,56.9
CA-087,Santa Cruz County,California,58.6,2.9,124,55.7
CA-089,Shasta County,California,55.3,0.9,101,54.3
CA-091,Sierra County,California,46.8,0.4,78,46.4
CA-093,Siskiyou County,California,49,1.1,99,47.8
CA-095,Solano County,California,61.7,1.9,118,59.7
CA-097,Sonoma County,California,57.9,1.8,119,56.1
CA-099,Stanislaus County,California,62.3,2,119,60.4
CA-101,Sutter County,California,63.4,1.6,112,61.8
CA-103,Tehama County,California,58.8,0.9,100,57.9
CA-105,Trinity County,California,52.9,1.3,106,51.6
CA-107,Tulare County,California,54,0.8,89,53.2
CA-109,Tuolumne County,California,49.9,0.2,77,49.6
CA-111,Ventura County,California,57.7,1.7,101,56
CA-113,Yolo County,California,62.4,1.5,114,60.9
CA-115,Yuba County,California,60.9,1.1,103,59.8
