ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,61.7,3.9,129,57.9
CA-003,Alpine County,California,46.3,3,127,43.3
CA-005,Amador County,California,60.4,3.2,129,57.2
CA-007,Butte County,California,62.4,3.6,129,58.8
CA-009,Calaveras County,California,60.7,3.1,129,57.6
CA-011,Colusa County,California,64,3.6,129,60.4
CA-013,Contra Costa County,California,62.8,4,130,58.8
CA-015,Del Norte County,California,53.3,2.5,125,50.8
CA-017,El Dorado County,California,56.4,3,129,53.4
CA-019,Fresno County,California,57.6,3.2,127,54.4
CA-021,Glenn County,California,62.6,3.4,129,59.3
CA-023,Humboldt County,California,55.8,2.9,128,53
CA-025,Imperial County,California,75.4,3.2,123,72.2
CA-027,Inyo County,California,62.6,3.1,126,59.6
CA-029,Kern County,California,63.4,2.9,123,60.5
CA-031,Kings County,California,65.5,3,125,62.5
CA-033,Lake County,California,59.6,3.3,128,56.3
CA-035,Lassen County,California,49.1,3,127,46.1
CA-037,Los Angeles County,California,63.2,3.4,123,59.9
CA-039,Madera County,California,58,2.9,127,55.1
CA-041,Marin County,California,58.4,3.5,129,54.8
CA-043,Mariposa County,California,57.4,2.9,127,54.5
CA-045,Mendocino County,California,57.7,2.8,128,54.8
CA-047,Merced County,California,63.4,2.4,125,61
CA-049,Modoc County,California,49,3.4,126,45.6
CA-051,Mono County,California,46.6,3.3,129,43.3
CA-053,Monterey County,California,60.4,3.2,128,57.2
CA-055,Napa County,California,61.9,3.7,129,58.2
CA-057,Nevada County,California,54.5,2.8,127,51.7
CA-059,Orange County,California,65.9,3.6,125,62.4
CA-061,Placer County,California,55.9,2.9,128,53
CA-063,Plumas County,California,49.4,2.6,127,46.8
CA-065,Riverside County,California,70.2,3.4,127,66.8
CA-067,Sacramento County,California,64.4,3.3,129,61.1
CA-069,San Benito County,California,60.7,3.3,128,57.4
CA-071,San Bernardino County,California,68.2,3.1,125,65.1
CA-073,San Diego County,California,64.7,3.5,125,61.2
CA-075,San Francisco County,California,59.2,3.5,128,55.8
CA-077,San Joaquin County,California,64.5,3.7,130,60.7
CA-079,San Luis Obispo County,California,61.1,3.2,127,58
CA-081,San Mateo County,California,58.8,3.4,128,55.4
CA-083,Santa Barbara County,California,60.2,3.6,126,56.6
CA-085,Santa Clara County,California,60.5,3.6,129,56.9
CA-087,Santa Cruz County,California,59.3,3.7,128,55.7
CA-089,Shasta County,California,57.4,3,128,54.3
CA-091,Sierra County,California,49.3,2.9,127,46.4
CA-093,Siskiyou County,California,50.9,3,128,47.8
CA-095,Solano County,California,63.2,3.4,129,59.7
CA-097,Sonoma County,California,59.4,3.3,129,56.1
CA-099,Stanislaus County,California,63.1,2.7,125,60.4
CA-101,Sutter County,California,64.9,3.1,127,61.8
CA-103,Tehama County,California,61.1,3.2,128,57.9
CA-105,Trinity County,California,54.7,3.1,128,51.6
CA-107,Tulare County,California,56.1,2.9,126,53.2
CA-109,Tuolumne County,California,52.5,2.9,129,49.6
CA-111,Ventura County,California,59.5,3.5,125,56
CA-113,Yolo County,California,63.9,3,129,60.9
CA-115,Yuba County,California,63,3.2,129,59.8
