ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CA-001,Alameda County,California,59.1,1.2,101,57.9
CA-003,Alpine County,California,43.7,0.4,81,43.3
CA-005,Amador County,California,57.6,0.4,78,57.2
CA-007,Butte County,California,60,1.2,104,58.8
CA-009,Calaveras County,California,57.9,0.3,72,57.6
CA-011,Colusa County,California,61.5,1.2,100,60.4
CA-013,Contra Costa County,California,59.7,0.8,88,58.8
CA-015,Del Norte County,California,52.1,1.3,102,50.8
CA-017,El Dorado County,California,53.5,0.1,70,53.4
CA-019,Fresno County,California,55.4,1,93,54.4
CA-021,Glenn County,California,60.5,1.2,107,59.3
CA-023,Humboldt County,California,54.3,1.3,110,53
CA-025,Imperial County,California,74.1,1.9,109,72.2
CA-027,Inyo County,California,59.8,0.2,68,59.6
CA-029,Kern County,California,61.1,0.6,82,60.5
CA-031,Kings County,California,64.3,1.8,112,62.5
CA-033,Lake County,California,56.7,0.4,81,56.3
CA-035,Lassen County,California,46.6,0.4,77,46.1
CA-037,Los Angeles County,California,60.7,0.9,82,59.9
CA-039,Madera County,California,56.2,1,93,55.1
CA-041,Marin County,California,56.2,1.4,108,54.8
CA-043,Mariposa County,California,55,0.5,84,54.5
CA-045,Mendocino County,California,55.6,0.7,100,54.8
CA-047,Merced County,California,62,1,95,61
CA-049,Modoc County,California,47.1,1.5,106,45.6
CA-051,Mono County,California,43.1,-0.2,47,43.3
CA-053,Monterey County,California,58.2,1,95,57.2
CA-055,Napa County,California,59.1,0.9,96,58.2
CA-057,Nevada County,California,51.7,-0,51,51.7
CA-059,Orange County,California,63.4,1.1,91,62.4
CA-061,Placer County,California,53.1,0.1,59,53
CA-063,Plumas County,California,47,0.2,74,46.8
CA-065,Riverside County,California,68.1,1.3,99,66.8
CA-067,Sacramento County,California,62.2,1.1,103,61.1
CA-069,San Benito County,California,58.3,0.9,90,57.4
CA-071,San Bernardino County,California,65.8,0.7,86,65.1
CA-073,San Diego County,California,62.1,0.8,85,61.2
CA-075,San Francisco County,California,56.8,1,98,55.8
CA-077,San Joaquin County,California,62.2,1.5,112,60.7
CA-079,San Luis Obispo County,California,59.1,1.1,96,58
CA-081,San Mateo County,California,56.9,1.5,108,55.4
CA-083,Santa Barbara County,California,58.1,1.5,98,56.6
CA-085,Santa Clara County,California,58,1.2,96,56.9
CA-087,Santa Cruz County,California,57.5,1.9,112,55.7
CA-089,Shasta County,California,55.3,1,101,54.3
CA-091,Sierra County,California,46.6,0.2,65,46.4
CA-093,Siskiyou County,California,49.3,1.5,106,47.8
CA-095,Solano County,California,60.7,1,96,59.7
CA-097,Sonoma County,California,56.9,0.8,94,56.1
CA-099,Stanislaus County,California,61.4,1.1,97,60.4
CA-101,Sutter County,California,63.2,1.3,107,61.8
CA-103,Tehama County,California,58.5,0.6,93,57.9
CA-105,Trinity County,California,52.9,1.3,105,51.6
CA-107,Tulare County,California,54,0.8,89,53.2
CA-109,Tuolumne County,California,49.6,-0,58,49.6
CA-111,Ventura County,California,57.3,1.3,92,56
CA-113,Yolo County,California,61.6,0.7,90,60.9
CA-115,Yuba County,California,60.6,0.8,91,59.8
